,0,1,2,3,4
f0,0.0,0.0,0.0,0.0,0.0
f1,0.32814024713732,0.0,0.0,0.0,0.0
f10,0.0,0.0,0.0,0.0,0.0
f11,0.0,0.0,0.2415766184944736,0.0,0.0
f12,0.0,0.18150848216034673,0.0,0.0,0.20865086633800392
f13,0.0,0.0,0.2584233815055264,0.0,0.0
f14,0.0,0.0,0.0,0.15304956123605135,0.0
f15,0.24143308948848566,0.22625044246925555,0.0,0.0,0.0
f16,0.08670715764883434,0.0,0.0,0.0,0.19073129382727086
f17,0.0,0.09224107537039772,0.0,0.1753220019227791,0.10061783983472523
f18,0.0,0.0,0.0,0.17162843684116957,0.19073129382727086
f19,0.0,0.09224107537039772,0.0,0.0,0.20865086633800392
f2,0.17185975286268002,0.0,0.11851943356672054,0.17162843684116957,0.0
f3,0.0,0.0,0.0,0.1753220019227791,0.0
f4,0.17185975286268002,0.0,0.12305718492775305,0.0,0.0
f5,0.0,0.22625044246925555,0.0,0.15304956123605135,0.0
f6,0.0,0.18150848216034673,0.0,0.0,0.10061783983472523
f7,0.0,0.0,0.0,0.0,0.0
f8,0.0,0.0,0.0,0.0,0.0
f9,0.0,0.0,0.2584233815055264,0.0,0.0
