,0,1,2,3,4
f0,0.1963355394622317,0.15352660167780252,0.10844445843504985,0.06162662662286981,0.028763928610274575
f1,0.24145021533122585,0.11701019897881185,0.14633526944250602,0.0894131795396893,0.031078152800395338
f10,0.0,0.0,0.0,0.08984783585239431,0.056273965798639414
f11,0.0,0.0,0.0,0.03805760564409753,0.050106706305724225
f12,0.0,0.0,0.0,0.0,0.04163214304362653
f13,0.0,0.0,0.0,0.0,0.05535652906550422
f14,0.0,0.0,0.0,0.0,0.027536702104203285
f15,0.0,0.0,0.0,0.0,0.0
f16,0.0,0.06226526864294516,0.0,0.0,0.0
f17,0.13692177467315972,0.0,0.0,0.0,0.0
f18,0.0,0.0,0.0,0.0,0.0
f19,0.13692177467315972,0.05308250044042972,0.0,0.0,0.0
f2,0.28837069586022296,0.09406648433890019,0.04998847176143672,0.04952993455094062,0.04811892837764055
f20,,0.0,0.0,0.0,0.0
f21,,0.0,0.0,0.027794183407250886,0.021842866065619273
f22,,0.0,0.07119721692155437,0.0,0.0
f23,,0.0,0.0,0.0,0.0
f24,,0.0,0.0,0.0,0.0
f25,,0.0,0.029253592226379403,0.0,0.0
f26,,0.0,0.0,0.0,0.0
f27,,0.0,0.0,0.027794183407250886,0.0
f28,,0.0,0.0,0.0,0.0
f29,,0.0,0.0,0.0,0.033136813080613156
f3,0.0,0.12130197909975819,0.07063585254505343,0.03860457887792941,0.06631402536492448
f30,,0.0,0.0,0.0,0.0
f31,,0.0,0.0,0.030927274120687888,0.0
f32,,0.05308250044042972,0.0,0.0,0.0
f33,,0.06226526864294516,0.0,0.0,0.0
f34,,0.0,0.029253592226379403,0.0,0.032807083890959196
f35,,0.0,0.0,0.0,0.0
f36,,0.0,0.0,0.042072991863023414,0.0
f37,,0.0,0.0,0.0,0.0
f38,,0.0,0.0,0.0,0.0
f39,,0.0,0.0,0.0,0.0
f4,0.0,0.13180312154184312,0.05964408051627458,0.06394141852826006,0.05076228926923494
f40,,,0.0,0.0,0.0
f41,,,0.0,0.0,0.0
f42,,,0.0,0.0,0.0
f43,,,0.0,0.0,0.0
f44,,,0.0,0.0,0.0
f45,,,0.0,0.0,0.0
f46,,,0.0,0.0,0.0
f47,,,0.0,0.0,0.0
f48,,,0.0,0.0,0.0
f49,,,0.017609129918919556,0.04508139595724298,0.0
f5,0.0,0.15159607619613433,0.07635290281068682,0.07741857150795955,0.037750649871520964
f50,,,0.0,0.0,0.0
f51,,,0.07119721692155437,0.0,0.033136813080613156
f52,,,0.0,0.04508139595724298,0.0354597875778675
f53,,,0.0,0.0,0.0
f54,,,0.0,0.0,0.0
f55,,,0.0,0.0,0.0
f56,,,0.017609129918919556,0.0,0.0
f57,,,0.0,0.0,0.0
f58,,,0.0,0.0,0.0
f59,,,0.0,0.0,0.0
f6,0.0,0.0,0.09509132460962448,0.06054415847309048,0.023762282471246562
f60,,,,0.0,0.0
f61,,,,0.042072991863023414,0.025312109535709434
f62,,,,0.0,0.0
f63,,,,0.0,0.0
f64,,,,0.0,0.0
f65,,,,0.0,0.0
f66,,,,0.0,0.0
f67,,,,0.0,0.0
f68,,,,0.0,0.0
f69,,,,0.0,0.0
f7,0.0,0.0,0.0863892640780385,0.07711532029248974,0.060946827897021966
f70,,,,0.0,0.0
f71,,,,0.0,0.0
f72,,,,0.0,0.0
f73,,,,0.0,0.0
f74,,,,0.0,0.0
f75,,,,0.0,0.0
f76,,,,0.0,0.0
f77,,,,0.0,0.0
f78,,,,0.0,0.0
f79,,,,0.030927274120687888,0.032807083890959196
f8,0.0,0.0,0.07099849766762285,0.019477543940527885,0.06567755680569885
f80,,,,,0.0
f81,,,,,0.0
f82,,,,,0.0
f83,,,,,0.025312109535709434
f84,,,,,0.0
f85,,,,,0.0
f86,,,,,0.0354597875778675
f87,,,,,0.0
f88,,,,,0.0
f89,,,,,0.0
f9,0.0,0.0,0.0,0.04267153547334088,0.05880199191280687
f90,,,,,0.0
f91,,,,,0.0
f92,,,,,0.0
f93,,,,,0.0
f94,,,,,0.0
f95,,,,,0.0
f96,,,,,0.0
f97,,,,,0.0
f98,,,,,0.021842866065619273
f99,,,,,0.0
