,0,1,2,3,4
f0,0.3294189652351055,0.16216810196139628,0.2901646903567452,0.10682070303165038,0.29839863526738847
f1,0.16143935191868647,0.29010314863421355,0.11622295844150805,0.31828968312857375,0.22582397786406314
f10,0.0,0.0,0.0,0.0,0.0
f11,0.0,0.0,0.0,0.0,0.13380508051532128
f12,0.0,0.0,0.0,0.0,0.0
f13,0.0,0.0,0.0,0.11645140008384729,0.0
f14,0.0,0.0,0.0,0.0,0.0
f15,0.0,0.0,0.051346486638795756,0.0,0.0
f16,0.0,0.0,0.051346486638795756,0.0,0.0
f17,0.0,0.0,0.0,0.11645140008384729,0.0
f18,0.19084146994103493,0.0,0.0,0.0,0.0
f19,0.0,0.157900593549917,0.0,0.0,0.0
f2,0.12745874296413806,0.23192756230455622,0.4909193779241552,0.34198681367208117,0.20816722583790592
f3,0.0,0.0,0.0,0.0,0.0
f4,0.19084146994103493,0.0,0.0,0.0,0.0
f5,0.0,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.0,0.0,0.0
f7,0.0,0.0,0.0,0.0,0.13380508051532128
f8,0.0,0.157900593549917,0.0,0.0,0.0
f9,0.0,0.0,0.0,0.0,0.0
